アクティビティ &#21517;&#21069; miyohide
 
 お気に入り,アクティビティ名,アクティビティ タイプ,コース,スタート,タイム,距離,高度上昇量,平均スピード(平均ペース),最高スピード(ベストペース),平均心拍,最高心拍,カロリー,合計ストローク数,平均ストローク数,最小ストローク数,平均SWOLF,最高SWOLF,トレーニング効果,
 false,タイトルなし,ランニング,--,"水, 2014 12 10 7:29 午後",47:29,10.02,64,4:44,4:08,--,--,738,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 12 7 9:34 午前",1:44:25,21.14,153,4:56,3:15,--,--,"1,235",--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"木, 2014 12 4 8:35 午後",23:57,5.07,40,4:44,3:39,--,--,291,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"火, 2014 12 2 7:51 午後",48:33,10.02,84,4:51,3:14,--,--,585,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 11 30 9:37 午前",52:06,11.04,84,4:43,1:34,--,--,625,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 11 28 9:02 午後",25:08,5.04,18,4:59,3:26,--,--,287,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 11 23 9:37 午前",4:38:03,42.45,82,6:33,3:44,--,--,"2,398",--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 11 16 10:21 午前",23:28,5.03,30,4:40,4:01,--,--,289,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 11 14 6:27 午前",47:47,10.03,3,4:46,4:07,--,--,582,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"水, 2014 11 12 8:53 午前",23:39,5.01,31,4:43,3:40,--,--,288,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 11 9 11:09 午前",1:10:37,15.02,96,4:42,2:47,--,--,866,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 11 7 10:36 午後",23:57,5.02,36,4:47,4:23,--,--,289,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"水, 2014 11 5 6:15 午後",33:51,7.02,214,4:49,3:57,--,--,406,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 11 2 8:33 午前",1:43:46,21.21,153,4:54,3:33,--,--,"1,226",--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"水, 2014 10 29 7:23 午後",46:33,10.02,30,4:39,3:20,--,--,576,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 10 26 8:26 午前",1:11:59,15.02,93,4:47,3:05,--,--,867,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 10 24 8:58 午後",57:01,12.05,57,4:44,3:02,--,--,690,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"火, 2014 10 21 7:54 午後",15:00,3.05,10,4:55,3:43,--,--,173,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 10 19 8:51 午前",1:57:59,20.07,98,5:53,3:57,--,--,"1,164",--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 10 17 8:42 午後",48:08,10.05,79,4:47,1:37,--,--,591,--,--,--,--,--,--,
 